donor,country_code_WB,region,project_size_USD_calculated,startyear,completion_year,evalyear,eval_lag,project_duration,external_evaluator,success,Grouped Category
AfricanDB,BFA,Sub-Saharan Africa,12331831,2000,2009,2010,387,3381,internal,0,Agriculture and Environment
AfricanDB,BFA,Sub-Saharan Africa,24722510,2001,2010,2009,-410,3311,internal,0,Infrastructure and Basic Services
AfricanDB,BFA,Sub-Saharan Africa,18182342,2001,2010,2011,381,3318,internal,1,Agriculture and Environment
AfricanDB,BFA,Sub-Saharan Africa,18104940,2004,2010,2011,350,2262,internal,0,Infrastructure and Basic Services
AfricanDB,BFA,Sub-Saharan Africa,15841370,2003,2011,2011,230,2962,internal,1,Agriculture and Environment
AfricanDB,BFA,Sub-Saharan Africa,10000000,2010,2011,2011,16,343,internal,1,Multisector and Unallocated
AfricanDB,BFA,Sub-Saharan Africa,23000580,2003,2011,2012,428,2782,internal,1,Infrastructure and Basic Services
AfricanDB,BFA,Sub-Saharan Africa,2740000,2006,2012,2014,793,2053,internal,0,Multisector and Unallocated
AfricanDB,BFA,Sub-Saharan Africa,50000000,2011,2013,2014,244,827,internal,0,Multisector and Unallocated
AfricanDB,BFA,Sub-Saharan Africa,565170,2008,2013,2016,1372,1751,internal,1,Infrastructure and Basic Services
AfricanDB,BFA,Sub-Saharan Africa,17891188,2003,2013,2014,244,3773,internal,0,Social Services and Welfare
AfricanDB,BWA,Sub-Saharan Africa,1105501696,2009,2011,2012,499,726,internal,1,Multisector and Unallocated
AfricanDB,BDI,Sub-Saharan Africa,12000000,2008,2009,2010,248,400,internal,1,Multisector and Unallocated
AfricanDB,BDI,Sub-Saharan Africa,9518537,2005,2012,2014,609,2910,internal,0,Social Services and Welfare
AfricanDB,BDI,Sub-Saharan Africa,8214885,2005,2012,2006,-2029,2726,internal,0,Multisector and Unallocated
AfricanDB,BDI,Sub-Saharan Africa,10000000,2010,2012,2011,-381,765,internal,1,Multisector and Unallocated
AfricanDB,BDI,Sub-Saharan Africa,7000000,2011,2013,2012,-400,935,internal,1,Multisector and Unallocated
AfricanDB,BDI,Sub-Saharan Africa,24100000,2011,2015,2016,367,1741,internal,1,Infrastructure and Basic Services
AfricanDB,CMR,Sub-Saharan Africa,20500000,2001,2004,2005,221,1312,internal,0,Multisector and Unallocated
AfricanDB,CMR,Sub-Saharan Africa,19598952,1998,2007,2009,595,3310,internal,0,Agriculture and Environment
AfricanDB,CMR,Sub-Saharan Africa,3224947,2002,2010,2010,-40,3241,internal,0,Multisector and Unallocated
AfricanDB,CMR,Sub-Saharan Africa,16639807,2001,2010,2010,110,3148,internal,0,Agriculture and Environment
AfricanDB,CMR,Sub-Saharan Africa,8926026,2000,2011,2011,-215,4135,internal,0,Social Services and Welfare
AfricanDB,CMR,Sub-Saharan Africa,24918294,2007,2011,2012,331,1465,internal,1,Multisector and Unallocated
AfricanDB,CMR,Sub-Saharan Africa,11063539,2004,2012,2014,630,3171,internal,0,Social Services and Welfare
AfricanDB,CMR,Sub-Saharan Africa,28490000,2006,2014,2014,32,2998,internal,0,Infrastructure and Basic Services
AfricanDB,CPV,Sub-Saharan Africa,2500000,2002,2003,2007,1531,13,internal,0,Multisector and Unallocated
AfricanDB,CPV,Sub-Saharan Africa,4213350,1997,2004,2006,457,2774,internal,1,Social Services and Welfare
AfricanDB,CPV,Sub-Saharan Africa,2500000,2004,2005,2007,437,446,internal,0,Multisector and Unallocated
AfricanDB,CPV,Sub-Saharan Africa,7070882,2002,2010,2011,350,2933,internal,1,Agriculture and Environment
AfricanDB,CPV,Sub-Saharan Africa,1035109,2004,2010,2011,195,2272,internal,1,Social Services and Welfare
AfricanDB,CPV,Sub-Saharan Africa,5000000,2009,2011,2012,186,905,internal,1,Multisector and Unallocated
AfricanDB,CPV,Sub-Saharan Africa,19698224,2011,2012,2014,609,389,internal,1,Multisector and Unallocated
AfricanDB,CIV,Sub-Saharan Africa,15000000,2002,2004,2005,345,878,internal,0,Multisector and Unallocated
AfricanDB,CIV,Sub-Saharan Africa,83870000,2009,2009,2010,265,300,internal,1,Multisector and Unallocated
AfricanDB,CAF,Sub-Saharan Africa,6500000,2008,2009,2011,416,426,internal,0,Multisector and Unallocated
AfricanDB,CAF,Sub-Saharan Africa,3289785,2006,2011,2010,-254,1774,internal,1,Multisector and Unallocated
AfricanDB,TCD,Sub-Saharan Africa,8697877,2002,2004,2005,9,1057,internal,0,Multisector and Unallocated
AfricanDB,TCD,Sub-Saharan Africa,6289022,1997,2006,2009,960,3370,internal,0,Social Services and Welfare
AfricanDB,TCD,Sub-Saharan Africa,22615104,1999,2009,2009,17,3720,internal,0,Agriculture and Environment
AfricanDB,TCD,Sub-Saharan Africa,13470881,1998,2010,2009,-501,4599,internal,0,Agriculture and Environment
AfricanDB,TCD,Sub-Saharan Africa,2767896,2005,2011,2012,33,2198,internal,0,Multisector and Unallocated
AfricanDB,TCD,Sub-Saharan Africa,413987,2008,2011,2014,1281,1081,internal,1,Infrastructure and Basic Services
AfricanDB,TCD,Sub-Saharan Africa,8999438,2001,2011,2011,198,3388,internal,0,Agriculture and Environment
AfricanDB,TCD,Sub-Saharan Africa,6283833,2001,2011,2012,606,3593,internal,1,Social Services and Welfare
AfricanDB,TCD,Sub-Saharan Africa,6523783,2001,2011,2011,-107,3663,internal,0,Social Services and Welfare
AfricanDB,TCD,Sub-Saharan Africa,15190000,2006,2012,2014,670,2196,internal,1,Infrastructure and Basic Services
AfricanDB,TCD,Sub-Saharan Africa,15231016,2003,2012,2012,121,3341,internal,0,Agriculture and Environment
AfricanDB,TCD,Sub-Saharan Africa,2057108,2004,2012,2014,609,3141,internal,0,Social Services and Welfare
AfricanDB,COM,Sub-Saharan Africa,2000000,2009,2012,2011,-197,1059,internal,1,Multisector and Unallocated
AfricanDB,COM,Sub-Saharan Africa,2000000,2013,2014,2014,63,523,internal,1,Multisector and Unallocated
AfricanDB,COG,Sub-Saharan Africa,364562,2003,2008,2009,290,1860,internal,0,Multisector and Unallocated
AfricanDB,COG,Sub-Saharan Africa,2897139,2007,2011,2011,138,1529,internal,0,Multisector and Unallocated
AfricanDB,EGY,Middle East & North Africa,139000000,1998,2005,2006,358,2856,internal,1,Social Services and Welfare
AfricanDB,EGY,Middle East & North Africa,18090030,2000,2007,2009,746,2402,internal,0,Agriculture and Environment
AfricanDB,EGY,Middle East & North Africa,7614986,1998,2008,2009,447,3768,internal,0,Social Services and Welfare
AfricanDB,EGY,Middle East & North Africa,23038598,1998,2009,2009,48,4133,internal,0,Agriculture and Environment
AfricanDB,EGY,Middle East & North Africa,368500576,2006,2010,2011,189,1311,internal,1,Social Services and Welfare
AfricanDB,EGY,Middle East & North Africa,137223632,2005,2012,2014,793,2447,internal,1,Infrastructure and Basic Services
AfricanDB,EGY,Middle East & North Africa,64887748,2006,2013,2010,-1052,2530,internal,1,Social Services and Welfare
AfricanDB,EGY,Middle East & North Africa,85322248,2000,2017,2009,-2813,6198,internal,0,Social Services and Welfare
AfricanDB,GNQ,Sub-Saharan Africa,2564606,1998,2007,2009,717,3230,internal,0,Social Services and Welfare
AfricanDB,ERI,Sub-Saharan Africa,9148282,1997,2005,2009,1294,3138,internal,0,Agriculture and Environment
AfricanDB,ERI,Sub-Saharan Africa,12841558,1998,2006,2009,837,3240,internal,0,Agriculture and Environment
AfricanDB,ERI,Sub-Saharan Africa,11056300,1998,2007,2009,747,3330,internal,0,Agriculture and Environment
AfricanDB,ERI,Sub-Saharan Africa,43900000,2001,2009,2009,-136,3137,internal,0,Multisector and Unallocated
AfricanDB,ETH,Sub-Saharan Africa,60000000,2005,2005,2009,1292,331,internal,0,Multisector and Unallocated
AfricanDB,ETH,Sub-Saharan Africa,22958498,1998,2009,2010,350,4032,internal,0,Social Services and Welfare
AfricanDB,ETH,Sub-Saharan Africa,1148126,2004,2009,2009,-102,1933,internal,0,Agriculture and Environment
AfricanDB,ETH,Sub-Saharan Africa,7885734,2001,2009,2009,169,3036,internal,1,Multisector and Unallocated
AfricanDB,ETH,Sub-Saharan Africa,35381152,1998,2009,2010,137,4059,internal,0,Social Services and Welfare
AfricanDB,ETH,Sub-Saharan Africa,39893620,2002,2009,2009,169,2665,internal,1,Infrastructure and Basic Services
AfricanDB,ETH,Sub-Saharan Africa,440164,2006,2010,2016,2152,1522,internal,0,Infrastructure and Basic Services
AfricanDB,ETH,Sub-Saharan Africa,33075332,2003,2010,2012,640,2636,internal,0,Agriculture and Environment
AfricanDB,ETH,Sub-Saharan Africa,35980712,2001,2011,2012,336,3756,internal,0,Agriculture and Environment
AfricanDB,ETH,Sub-Saharan Africa,37592700,2001,2011,2012,366,3697,internal,1,Infrastructure and Basic Services
AfricanDB,ETH,Sub-Saharan Africa,110000000,2009,2011,2012,345,1075,internal,1,Multisector and Unallocated
AfricanDB,ETH,Sub-Saharan Africa,19224988,2002,2011,2012,275,3340,internal,1,Infrastructure and Basic Services
AfricanDB,ETH,Sub-Saharan Africa,25906892,2003,2012,2016,1421,3367,internal,0,Infrastructure and Basic Services
AfricanDB,ETH,Sub-Saharan Africa,89832000,2006,2014,2016,976,2986,internal,1,Infrastructure and Basic Services
AfricanDB,GAB,Sub-Saharan Africa,82544128,2004,2006,2010,1538,810,internal,1,Multisector and Unallocated
AfricanDB,GAB,Sub-Saharan Africa,16622915,1998,2010,2012,696,4735,internal,1,Social Services and Welfare
AfricanDB,GAB,Sub-Saharan Africa,221449744,2007,2014,2016,701,2624,internal,1,Infrastructure and Basic Services
AfricanDB,GMB,Sub-Saharan Africa,8125719,1996,2005,2009,1202,3298,internal,1,Agriculture and Environment
AfricanDB,GMB,Sub-Saharan Africa,678631,1999,2005,2007,504,2535,internal,0,Multisector and Unallocated
AfricanDB,GMB,Sub-Saharan Africa,3402230,1998,2006,2006,106,2972,internal,0,Social Services and Welfare
AfricanDB,GMB,Sub-Saharan Africa,5723900,1999,2008,2009,306,3264,internal,0,Agriculture and Environment
AfricanDB,GMB,Sub-Saharan Africa,3758258,2001,2009,2014,1705,3268,internal,0,Agriculture and Environment
AfricanDB,GMB,Sub-Saharan Africa,6044541,2000,2010,2010,-17,3934,internal,1,Social Services and Welfare
AfricanDB,GMB,Sub-Saharan Africa,11055694,2002,2010,2011,399,2773,internal,1,Social Services and Welfare
AfricanDB,GMB,Sub-Saharan Africa,10959738,2004,2011,2011,-178,2725,internal,1,Agriculture and Environment
AfricanDB,GMB,Sub-Saharan Africa,1400000,2008,2011,2011,16,1270,internal,1,Multisector and Unallocated
AfricanDB,GMB,Sub-Saharan Africa,6356995,2005,2011,2012,275,2417,internal,0,Agriculture and Environment
AfricanDB,GMB,Sub-Saharan Africa,3000000,2009,2012,2009,-1111,1424,internal,1,Multisector and Unallocated
AfricanDB,GHA,Sub-Saharan Africa,38584144,2001,2002,2007,1692,495,internal,0,Multisector and Unallocated
AfricanDB,GHA,Sub-Saharan Africa,13573115,1997,2004,2009,1628,2719,internal,1,Social Services and Welfare
AfricanDB,GHA,Sub-Saharan Africa,12295500,1998,2005,2006,436,2589,internal,1,Social Services and Welfare
AfricanDB,GHA,Sub-Saharan Africa,34546024,2003,2005,2007,505,787,internal,0,Multisector and Unallocated
AfricanDB,GHA,Sub-Saharan Africa,4310512,2001,2007,2011,1123,2489,internal,1,Social Services and Welfare
AfricanDB,GHA,Sub-Saharan Africa,21957882,2001,2007,2009,656,2489,internal,1,Infrastructure and Basic Services
AfricanDB,GHA,Sub-Saharan Africa,1671850,1999,2008,2010,563,3640,internal,0,Multisector and Unallocated
AfricanDB,GHA,Sub-Saharan Africa,3334627,2002,2008,2009,290,2519,internal,1,Multisector and Unallocated
AfricanDB,GHA,Sub-Saharan Africa,11509538,1998,2009,2009,109,3989,internal,0,Agriculture and Environment
AfricanDB,GHA,Sub-Saharan Africa,9976251,1998,2009,2009,349,3870,internal,1,Infrastructure and Basic Services
AfricanDB,GHA,Sub-Saharan Africa,10690185,2001,2010,2011,279,3493,internal,1,Agriculture and Environment
AfricanDB,GHA,Sub-Saharan Africa,17303986,1998,2010,2011,387,4400,internal,1,Agriculture and Environment
AfricanDB,GHA,Sub-Saharan Africa,20488268,2002,2011,2012,459,3254,internal,1,Agriculture and Environment
AfricanDB,GHA,Sub-Saharan Africa,11643704,2001,2011,2012,276,3873,internal,0,Agriculture and Environment
AfricanDB,GHA,Sub-Saharan Africa,90000000,2008,2011,2011,-107,1159,internal,1,Multisector and Unallocated
AfricanDB,GHA,Sub-Saharan Africa,9818540,2004,2011,2016,1788,2634,internal,1,Infrastructure and Basic Services
AfricanDB,GHA,Sub-Saharan Africa,8603349,2003,2012,2010,-510,3272,internal,1,Agriculture and Environment
AfricanDB,GHA,Sub-Saharan Africa,20361516,2005,2012,2014,609,2595,internal,1,Social Services and Welfare
AfricanDB,GHA,Sub-Saharan Africa,18748576,2003,2013,2014,519,3588,internal,0,Social Services and Welfare
AfricanDB,GNB,Sub-Saharan Africa,1208864,2001,2007,2009,687,2108,internal,0,Agriculture and Environment
AfricanDB,GNB,Sub-Saharan Africa,1188093,2005,2010,2011,350,2100,internal,0,Multisector and Unallocated
AfricanDB,GNB,Sub-Saharan Africa,4579967,2001,2011,2011,15,3539,internal,0,Social Services and Welfare
AfricanDB,GIN,Sub-Saharan Africa,6684169,1997,2001,2009,2663,1795,internal,1,Agriculture and Environment
AfricanDB,GIN,Sub-Saharan Africa,12250000,2001,2003,2005,530,817,internal,0,Multisector and Unallocated
AfricanDB,GIN,Sub-Saharan Africa,5226358,2003,2010,2011,167,2905,internal,0,Agriculture and Environment
AfricanDB,GIN,Sub-Saharan Africa,16912008,2002,2010,2011,350,2944,internal,1,Agriculture and Environment
AfricanDB,GIN,Sub-Saharan Africa,10781373,2000,2010,2011,411,3542,internal,0,Agriculture and Environment
AfricanDB,GIN,Sub-Saharan Africa,2929818,1998,2010,2010,-54,4726,internal,1,Social Services and Welfare
AfricanDB,GIN,Sub-Saharan Africa,22217762,2001,2011,2011,126,3370,internal,1,Social Services and Welfare
AfricanDB,GIN,Sub-Saharan Africa,5777669,2000,2011,2011,198,3818,internal,0,Agriculture and Environment
AfricanDB,GIN,Sub-Saharan Africa,1559976,2006,2012,2012,-35,2299,internal,0,Multisector and Unallocated
AfricanDB,GIN,Sub-Saharan Africa,13990000,2005,2013,2016,1066,3084,internal,1,Infrastructure and Basic Services
AfricanDB,GIN,Sub-Saharan Africa,20000000,2011,2013,2014,428,751,internal,1,Multisector and Unallocated
AfricanDB,GIN,Sub-Saharan Africa,15600000,2005,2013,2014,336,2992,internal,0,Social Services and Welfare
AfricanDB,KEN,Sub-Saharan Africa,8522510,1999,2002,2004,705,1432,internal,1,Multisector and Unallocated
AfricanDB,KEN,Sub-Saharan Africa,7393115,1998,2007,2009,779,3267,internal,0,Social Services and Welfare
AfricanDB,KEN,Sub-Saharan Africa,19106912,2002,2010,2012,731,3241,internal,0,Infrastructure and Basic Services
AfricanDB,KEN,Sub-Saharan Africa,19551430,2004,2011,2012,459,2488,internal,1,Infrastructure and Basic Services
AfricanDB,KEN,Sub-Saharan Africa,52972052,2007,2015,2016,449,2834,internal,1,Infrastructure and Basic Services
AfricanDB,KEN,Sub-Saharan Africa,26059430,2004,2015,2012,-932,3953,internal,1,Social Services and Welfare
AfricanDB,KEN,Sub-Saharan Africa,30752992,2004,2015,2014,-486,4228,internal,0,Social Services and Welfare
AfricanDB,LBR,Sub-Saharan Africa,2881937,2006,2011,2012,376,1832,internal,1,Multisector and Unallocated
AfricanDB,LBR,Sub-Saharan Africa,1378724,2008,2011,2016,1788,1389,internal,0,Infrastructure and Basic Services
AfricanDB,LBR,Sub-Saharan Africa,9000000,2008,2012,2009,-1111,1463,internal,1,Multisector and Unallocated
AfricanDB,LSO,Sub-Saharan Africa,2783987,1999,2004,2006,856,1895,internal,0,Agriculture and Environment
AfricanDB,LSO,Sub-Saharan Africa,4770000,2002,2005,2009,1597,1020,internal,1,Infrastructure and Basic Services
AfricanDB,LSO,Sub-Saharan Africa,7997628,2001,2006,2009,927,2118,internal,0,Multisector and Unallocated
AfricanDB,LSO,Sub-Saharan Africa,6084785,2001,2009,2009,-15,3214,internal,0,Agriculture and Environment
AfricanDB,LSO,Sub-Saharan Africa,4359314,2007,2010,2010,134,1161,internal,1,Infrastructure and Basic Services
AfricanDB,LSO,Sub-Saharan Africa,682197,2005,2010,2011,333,1780,internal,0,Multisector and Unallocated
AfricanDB,LSO,Sub-Saharan Africa,6380000,2010,2011,2011,198,406,internal,1,Multisector and Unallocated
AfricanDB,LSO,Sub-Saharan Africa,7563931,2002,2012,2014,944,3576,internal,0,Social Services and Welfare
AfricanDB,MRT,Sub-Saharan Africa,7386345,1996,1999,2006,2266,1106,internal,0,Social Services and Welfare
AfricanDB,MRT,Sub-Saharan Africa,3763586,1997,2003,2006,1060,2234,internal,1,Social Services and Welfare
AfricanDB,MRT,Sub-Saharan Africa,9944545,2001,2003,2006,740,945,internal,0,Multisector and Unallocated
AfricanDB,MRT,Sub-Saharan Africa,10804888,1999,2006,2009,994,2812,internal,0,Social Services and Welfare
AfricanDB,MRT,Sub-Saharan Africa,6995007,1999,2006,2011,1638,2662,internal,0,Social Services and Welfare
AfricanDB,MRT,Sub-Saharan Africa,5246665,2000,2009,2010,503,3458,internal,1,Agriculture and Environment
AfricanDB,MRT,Sub-Saharan Africa,15573882,2003,2009,2011,715,2407,internal,1,Infrastructure and Basic Services
AfricanDB,MRT,Sub-Saharan Africa,9439388,2008,2010,2011,197,779,internal,1,Infrastructure and Basic Services
AfricanDB,MRT,Sub-Saharan Africa,5028554,2001,2010,2010,-209,3612,internal,0,Agriculture and Environment
AfricanDB,MDG,Sub-Saharan Africa,15987426,2000,2004,2006,916,1321,internal,0,Multisector and Unallocated
AfricanDB,MDG,Sub-Saharan Africa,24982382,2003,2005,2006,186,785,internal,0,Multisector and Unallocated
AfricanDB,MDG,Sub-Saharan Africa,8734837,1998,2007,2009,511,3301,internal,0,Agriculture and Environment
AfricanDB,MDG,Sub-Saharan Africa,9077662,2002,2008,2009,350,2180,internal,1,Infrastructure and Basic Services
AfricanDB,MDG,Sub-Saharan Africa,13661166,1999,2009,2010,318,3824,internal,0,Social Services and Welfare
AfricanDB,MDG,Sub-Saharan Africa,11197924,1998,2009,2011,409,4032,internal,0,Social Services and Welfare
AfricanDB,MDG,Sub-Saharan Africa,7024737,2001,2009,2011,399,3159,internal,0,Agriculture and Environment
AfricanDB,MDG,Sub-Saharan Africa,8789635,2001,2010,2012,640,3524,internal,1,Infrastructure and Basic Services
AfricanDB,MDG,Sub-Saharan Africa,35512856,2004,2012,2014,609,2953,internal,1,Infrastructure and Basic Services
AfricanDB,MDG,Sub-Saharan Africa,6147368,2005,2012,2012,30,2573,internal,1,Multisector and Unallocated
AfricanDB,MDG,Sub-Saharan Africa,30000000,2008,2012,2011,-719,1631,internal,0,Multisector and Unallocated
AfricanDB,MUS,Sub-Saharan Africa,12870677,2001,2008,2009,350,2599,internal,0,Infrastructure and Basic Services
AfricanDB,MUS,Sub-Saharan Africa,22110034,2007,2010,2009,-380,1324,internal,1,Multisector and Unallocated
AfricanDB,MUS,Sub-Saharan Africa,58245936,2007,2013,2014,244,2311,internal,0,Infrastructure and Basic Services
AfricanDB,MUS,Sub-Saharan Africa,238788368,2009,2014,2016,792,1695,internal,1,Multisector and Unallocated
AfricanDB,MWI,Sub-Saharan Africa,10000000,1999,2000,2006,2099,718,internal,0,Multisector and Unallocated
AfricanDB,MWI,Sub-Saharan Africa,1346291,1998,2004,2006,438,2549,internal,0,Social Services and Welfare
AfricanDB,MWI,Sub-Saharan Africa,647751,2001,2005,2006,397,1619,internal,0,Multisector and Unallocated
AfricanDB,MWI,Sub-Saharan Africa,13569916,1997,2005,2009,1446,3138,internal,1,Social Services and Welfare
AfricanDB,MWI,Sub-Saharan Africa,9317668,2001,2007,2009,718,2287,internal,1,Social Services and Welfare
AfricanDB,MWI,Sub-Saharan Africa,8526426,1998,2007,2009,687,3321,internal,0,Agriculture and Environment
AfricanDB,MWI,Sub-Saharan Africa,10563158,1999,2007,2009,535,3143,internal,0,Social Services and Welfare
AfricanDB,MWI,Sub-Saharan Africa,14890000,2007,2008,2009,196,440,internal,0,Multisector and Unallocated
AfricanDB,MWI,Sub-Saharan Africa,10874334,2002,2009,2010,168,2643,internal,1,Social Services and Welfare
AfricanDB,MWI,Sub-Saharan Africa,7272458,1999,2009,2009,107,3752,internal,0,Agriculture and Environment
AfricanDB,MWI,Sub-Saharan Africa,10000000,2009,2009,2009,-75,272,internal,1,Multisector and Unallocated
AfricanDB,MWI,Sub-Saharan Africa,9992782,2002,2009,2010,383,2551,internal,1,Infrastructure and Basic Services
AfricanDB,MWI,Sub-Saharan Africa,7416481,1999,2009,2009,-136,4005,internal,0,Agriculture and Environment
AfricanDB,MWI,Sub-Saharan Africa,10234029,2000,2009,2009,230,3337,internal,0,Agriculture and Environment
AfricanDB,MWI,Sub-Saharan Africa,5788683,1999,2009,2009,139,3690,internal,0,Agriculture and Environment
AfricanDB,MWI,Sub-Saharan Africa,8487693,2003,2010,2011,39,2797,internal,0,Agriculture and Environment
AfricanDB,MWI,Sub-Saharan Africa,16390322,2002,2010,2011,258,2978,internal,1,Social Services and Welfare
AfricanDB,MWI,Sub-Saharan Africa,11546000,2010,2011,2011,16,419,internal,1,Multisector and Unallocated
AfricanDB,MWI,Sub-Saharan Africa,16660000,2006,2012,2014,609,2358,internal,0,Social Services and Welfare
AfricanDB,MLI,Sub-Saharan Africa,13631303,1999,2005,2009,1233,2419,internal,1,Social Services and Welfare
AfricanDB,MLI,Sub-Saharan Africa,1931918,2003,2008,2009,566,1900,internal,0,Multisector and Unallocated
AfricanDB,MLI,Sub-Saharan Africa,5390917,2001,2009,2010,283,3094,internal,1,Agriculture and Environment
AfricanDB,MLI,Sub-Saharan Africa,16655862,2002,2009,2010,347,2907,internal,0,Social Services and Welfare
AfricanDB,MLI,Sub-Saharan Africa,14848554,2003,2010,2011,152,2877,internal,0,Agriculture and Environment
AfricanDB,MLI,Sub-Saharan Africa,8589886,2001,2010,2011,442,3322,internal,0,Agriculture and Environment
AfricanDB,MLI,Sub-Saharan Africa,10795418,2000,2010,2011,430,3766,internal,0,Agriculture and Environment
AfricanDB,MLI,Sub-Saharan Africa,14920000,2006,2011,2012,303,2052,internal,1,Agriculture and Environment
AfricanDB,MLI,Sub-Saharan Africa,33000000,2008,2011,2011,-137,1174,internal,0,Multisector and Unallocated
AfricanDB,MLI,Sub-Saharan Africa,15000000,2011,2013,2014,244,797,internal,0,Multisector and Unallocated
AfricanDB,MLI,Sub-Saharan Africa,3515500,2007,2013,2014,244,2237,internal,0,Multisector and Unallocated
AfricanDB,MAR,Middle East & North Africa,128642656,1998,1999,2004,1740,582,internal,1,Social Services and Welfare
AfricanDB,MAR,Middle East & North Africa,140491968,1999,2003,2005,940,1483,internal,1,Multisector and Unallocated
AfricanDB,MAR,Middle East & North Africa,10393654,1999,2005,2006,304,2026,internal,1,Infrastructure and Basic Services
AfricanDB,MAR,Middle East & North Africa,95339400,2005,2007,2006,-488,1057,internal,1,Multisector and Unallocated
AfricanDB,MAR,Middle East & North Africa,102672184,2003,2008,2009,445,1802,internal,1,Social Services and Welfare
AfricanDB,MAR,Middle East & North Africa,169404720,2004,2008,2009,534,1355,internal,1,Infrastructure and Basic Services
AfricanDB,MAR,Middle East & North Africa,31021988,2001,2008,2010,715,2772,internal,0,Social Services and Welfare
AfricanDB,MAR,Middle East & North Africa,47837144,2005,2009,2011,715,1788,internal,1,Infrastructure and Basic Services
AfricanDB,MAR,Middle East & North Africa,63034316,2003,2009,2009,168,2248,internal,1,Infrastructure and Basic Services
AfricanDB,MAR,Middle East & North Africa,111914896,2005,2010,2014,1340,1950,internal,1,Infrastructure and Basic Services
AfricanDB,MAR,Middle East & North Africa,78792896,2010,2011,2011,-137,543,internal,1,Multisector and Unallocated
AfricanDB,MAR,Middle East & North Africa,132870744,2009,2011,2012,2,750,internal,1,Social Services and Welfare
AfricanDB,MAR,Middle East & North Africa,3531190016,2009,2012,2014,609,1333,internal,1,Social Services and Welfare
AfricanDB,MAR,Middle East & North Africa,183722512,2011,2012,2014,609,404,internal,1,Social Services and Welfare
AfricanDB,MAR,Middle East & North Africa,99242968,2012,2013,2014,336,306,internal,1,Multisector and Unallocated
AfricanDB,MOZ,Sub-Saharan Africa,25783828,1997,2003,2006,1137,1938,internal,1,Infrastructure and Basic Services
AfricanDB,MOZ,Sub-Saharan Africa,18633568,1997,2004,2005,210,2816,internal,1,Infrastructure and Basic Services
AfricanDB,MOZ,Sub-Saharan Africa,99952832,1997,2005,2006,305,3019,internal,1,Multisector and Unallocated
AfricanDB,MOZ,Sub-Saharan Africa,29965532,2004,2006,2006,124,567,internal,1,Multisector and Unallocated
AfricanDB,MOZ,Sub-Saharan Africa,12319318,1998,2008,2009,290,3732,internal,1,Social Services and Welfare
AfricanDB,MOZ,Sub-Saharan Africa,3480538,2001,2008,2010,676,2612,internal,0,Agriculture and Environment
AfricanDB,MOZ,Sub-Saharan Africa,23574628,1999,2009,2009,-15,3691,internal,1,Infrastructure and Basic Services
AfricanDB,MOZ,Sub-Saharan Africa,13866760,2000,2009,2010,442,3197,internal,1,Infrastructure and Basic Services
AfricanDB,MOZ,Sub-Saharan Africa,17846888,2000,2010,2012,915,3743,internal,1,Infrastructure and Basic Services
